"Capoluogo";"Cittadini";"Data ingresso in ANPR"
"ANCONA";"109.948";"25-01-2021"
"AOSTA";"37.479";"14-12-2018"
"BARI";"347.787";"14-02-2020"
"BOLOGNA";"433.959";"23-02-2019"
"BOLZANO";"118.551";"15-12-2020"
"CAGLIARI";"167.012";"26-11-2018"
"CAMPOBASSO";"53.841";"12-01-2019"
"CATANZARO";"90.594";"08-04-2021"
"FIRENZE";"408.031";"28-09-2018"
"GENOVA";"639.715";"23-03-2019"
"L'AQUILA";"78.302";"11-12-2018"
"MILANO";"1.546.732";"14-07-2018"
"NAPOLI";"1.031.409";"21-09-2019"
"PALERMO";"701.687";"14-09-2019"
"PERUGIA";"182.281";"15-03-2018"
"POTENZA";"70.241";"31-03-2020"
"ROMA";"3.206.006";"14-12-2020"
"TORINO";"967.090";"13-07-2018"
"TRENTO";"135.234";"18-02-2020"
"TRIESTE";"238.053";"06-07-2021"
"VENEZIA";"284.702";"21-06-2019"
